|genres|app_name|release_date|id
88420|['Casual']|PuzzleQuest: Challenge of the Warlords|2007|12500
88421|['RPG', 'Casual', 'Adventure']|Culpa Innata|2007|12310
88422|['Strategy']|Prison Tycoon 3™: Lockdown|2007|12510
88423|['Action', 'Adventure', 'Strategy']|Hunting Unlimited™ 2008|2007|12530
88424|['Racing']|18 Wheels of Steel: American Long Haul|2007|12520
88425|['Action']|Conflict: Denied Ops|2008|8100
88426|['Action']|ARMA: Combat Operations|2007|2780
88427|['Simulation']|Tycoon City: New York|2006|9730
88428|['Action']|Desperados 2: Cooper's Revenge|2006|9710
88429|['Action', 'Adventure']|Death to Spies|2007|9800
88430|['Action']|Act of War: High Treason|2006|9760
88431|['Simulation', 'Strategy']|RollerCoaster Tycoon® 3: Platinum|2006|2700
88432|['Action']|Act of War: Direct Action|2005|2710
88433|['Action']|Unreal 2: The Awakening|2003|13200
88434|['Action']|Unreal Gold|1998|13250
88435|['Casual', 'Indie']|Ninja Reflex: Steamworks Edition|2008|13000
88436|['Action']|Tom Clancy's Splinter Cell®|2003|13560
88437|['Action']|Far Cry®|2004|13520
88438|['Action']|Unreal Tournament: Game of the Year Edition|2000|13240
88439|['Action']|Tom Clancy's Rainbow Six® Vegas|2006|13540
88440|['Simulation']|Silent Hunter® III|2005|15210
88441|['Casual', 'Simulation']|Virtual Villagers - The Secret City|2008|16180
88442|['Casual']|Mystery P.I.™ - The Vegas Heist|2008|3520
88443|['Casual']|Luxor|2008|15970
88444|['Casual']|Reaxxion|2008|15950
88445|['Casual']|Little Farm|2008|15960
88446|['Casual']|7 Wonders II|2008|15900
88447|['Casual']|Luxor Amun Rising|2005|15910
88448|['Casual']|Luxor 3|2007|15930
88449|['Simulation']|Petz® Horsez® 2|2007|15160
88450|['Casual']|Luxor 2|2005|15920
88451|['Action', 'Adventure']|Rayman Raving Rabbids™|2007|15080
88452|['Simulation']|Silent Hunter®: Wolves of the Pacific|2007|15200
88453|['Simulation']|IL-2 Sturmovik: 1946|2006|15320
88454|['Simulation']|Silent Hunter®: Wolves of the Pacific U-Boat Missions|2008|15240
88455|['Adventure']|Bone: Out From Boneville|2005|8310
88456|['Racing']|Midnight Outlaw: 6 Hours to SunUp|2005|12600
88457|['Adventure']|Bone: The Great Cow Race|2006|8320
88458|['Racing']|Sprint Cars Road to Knoxville|2008|12590
88460|['Simulation']|Ride! Carnival Tycoon|2007|12560
88462|['Casual']|Mahjongg Investigations: Under Suspicion|2007|12540
88463|['Adventure']|Dracula Origin|2008|11050
88464|['Sports']|Beijing 2008™ - The Official Video Game of the Olympic Games|2008|10520
88465|['Adventure', 'RPG']|Sherlock Holmes - Nemesis|2008|11040
88466|['Adventure', 'Indie']|Eternity's Child|2008|19500
88467|['Simulation', 'Strategy']|Pacific Storm Allies|2007|11260
88468|['Action', 'Indie']|Tank Universal|2008|19200
88469|['Racing']|FlatOut: Ultimate Carnage|2008|12360
88470|['Adventure']|Oddworld: Abe's Exoddus®|1998|15710
88471|['Adventure']|Oddworld: Abe's Oddysee®|1997|15700
88472|['Racing']|GTR Evolution Expansion Pack for RACE 07|2008|8660
88473|['Strategy']|X-COM: Enforcer|2001|7770
88474|['Strategy']|X-COM: Apocalypse|1997|7660
88475|['Strategy']|X-COM: UFO Defense|1993|7760
88476|['Action', 'RPG']|S.T.A.L.K.E.R.: Clear Sky|2008|20510
88477|['Action']|Crysis Warhead®|2008|17330
88478|['Action']|Crysis|2007|17300
88479|['Strategy']|X-COM: Interceptor|1998|7730
88480|['Action', 'RPG']|The Witcher: Enhanced Edition Director's Cut|2008|20900
88481|['Indie']|Multiwinia|2008|1530
88482|['Racing']|STCC - The Game 1 - Expansion Pack for RACE 07|2008|8690
88483|['Strategy', 'Simulation']|Children of the Nile: Alexandria|2008|17120
88484|['Strategy']|Sid Meier's Civilization IV: Colonization|2008|16810
88485|['Action']|Tom Clancy's Rainbow Six® 3 Gold|2003|19830
88486|['Action', 'Adventure']|LEGO Batman|2008|21000
88487|['Simulation', 'Strategy']|City Life 2008|2008|4460
88488|['RPG', 'Strategy']|Hinterland|2008|17140
88489|['Action']|Brothers in Arms: Hell's Highway™|2008|15390
88490|['Indie', 'Casual']|Gravitron 2|2008|21300
88491|['Racing']|Xpand Rally Xtreme|2006|3050
88492|['Strategy']|Heroes of Might & Magic V: Hammers of Fate|2006|15380
88493|['Action']|Brothers in Arms: Earned in Blood™|2005|19800
88494|['Strategy']|Heroes of Might & Magic V: Tribes of the East|2007|15370
88495|['Strategy']|The Settlers®: Rise Of An Empire Gold Edition|2008|19930
88496|['Casual']|Brain Spa|2007|15350
88497|['Action']|The Sum of All Fears|2002|19810
88498|['Casual']|Peggle™ Nights|2008|3540
88499|['Indie']|World of Goo|2008|22000
88500|['Action', 'Simulation', 'Strategy']|X3: Terran Conflict|2008|2820
88501|['Action']|Mare Nostrum|2008|1230
88502|['Casual', 'Indie']|Spectraball|2008|18300
88503|['Indie', 'Casual', 'Sports']|Galactic Bowling|2008|20200
88504|['Action', 'Adventure']|Bully: Scholarship Edition|2008|12200
88505|['Action']|Far Cry® 2: Fortune's Edition|2008|19900
88506|['Action', 'Indie', 'Strategy']|Space Trader: Merchant Marine|2008|11240
88507|['Simulation']|PRR Wagon Pack 01|2009|256522
88508|['Simulation']|"Class 421 London South East ""Jaffa Cake"""|2009|275144
88509|['Simulation']|ATSF Wagon Pack 01|2009|256521
88510|['Simulation']|GP20 Union Pacific Add-on Livery|2009|222569
88511|['Simulation']|UK Van Wagon Pack|2009|256535
88512|['Simulation']|CSX SD70MAC Add-on Livery|2009|256611
88513|['Simulation']|CSX ES44AC Add-on Livery|2009|256576
88514|['Action']|Saints Row 2|2009|9480
88515|['Action']|Dead Space|2008|17470
88516|['RPG']|Rise of the Argonauts|2008|12770
88517|['Action', 'Adventure']|Mirror's Edge™|2009|17410
88518|['Indie', 'Strategy']|Defense Grid: The Awakening|2008|18500
88519|['Action']|F.E.A.R. 2: Project Origin|2009|16450
88520|['Strategy', 'Indie']|Harvest: Massive Encounter|2008|15400
88521|['Indie', 'Strategy']|Mayhem Intergalactic|2007|18600
88522|['Action', 'Indie']|Larva Mortus|2009|11340
88523|['Strategy']|Knights of Honor|2005|25830
88524|['Action', 'Adventure', 'Strategy']|Ceville|2009|23460
88525|['Strategy']|Empire: Total War™ - Special Forces Units & Bonus Content|2009|10600
88526|['Action']|Watchmen: The End is Nigh|2009|21010
88527|['Action', 'Adventure', 'Indie']|Penumbra Overture|2007|22180
88528|['Action']|Unreal Tournament 3 Black|2007|13210
88529|['RPG']|Drakensang|2009|12640
88530|['Casual', 'Strategy']|Age of Booty™|2009|21600
88531|['Indie', 'Simulation']|The Graveyard|2008|27020
88532|['Racing']|Burnout Paradise: The Ultimate Box|2009|24740
88533|['Action']|Zombie Master|2009|90047
88534|['Action', 'Indie']|The Maw|2009|26000
88535|['Action', 'Indie']|The Maw: River Redirect|2009|26006
88536|['Action', 'Indie']|The Maw: Brute Force|2009|26005
88537|['Casual', 'Indie']|Obulis|2009|11330
88538|['Indie']|Space Giraffe|2009|27800
88539|['Simulation', 'Strategy']|Codename: Panzers - Cold War|2009|9850
88540|['Casual']|Escape Rosecliff Island|2009|3600
88541|['RPG', 'Massively Multiplayer']|Guild Wars Nightfall|2006|29580
88542|['RPG', 'Massively Multiplayer']|Guild Wars|2005|29540
88543|['RPG', 'Massively Multiplayer']|Guild Wars Factions|2006|29560
88544|['Massively Multiplayer', 'RPG']|Guild Wars Trilogy|2008|29570
88545|['Casual']|Puzzle Kingdoms|2009|23700
88546|['Casual']|Samantha Swift and the Golden Touch|2009|16060
88547|['RPG']|Two Worlds Epic Edition|2009|1930
88548|['Strategy']|Helldorado|2009|18470
88549|['Action', 'Adventure', 'RPG']|X-Blades|2009|7510
88550|['Action', 'Indie']|Zeno Clash|2009|22200
88551|['Indie']|The Maw: Speeder Lane|2009|26007
88552|['RPG', 'Strategy']|King's Bounty: The Legend|2008|25900
88553|['Casual', 'Simulation']|Virtual Families|2009|16200
88554|['Racing']|Death Track®: Resurrection|2009|7840
88555|['RPG', 'Strategy']|Freedom Force vs. the Third Reich|2005|8890
88556|['RPG', 'Strategy']|Freedom Force|2002|8880
88557|['Indie', 'Simulation', 'Strategy']|Light of Altair|2009|34500
88558|['Action', 'Simulation']|Darkest Hour: Europe '44-'45|2009|1280
88559|['Action', 'Adventure']|Prototype™|2009|10150
88560|['Adventure', 'Indie']|Blueberry Garden|2009|29160
88561|['Strategy']|Port Royale 2|2004|12470
88563|['RPG']|The Elder Scrolls IV: Oblivion® Game of the Year Edition|2007|22330
88564|['RPG']|The Elder Scrolls III: Morrowind® Game of the Year Edition|2002|22320
88566|['Adventure']|Ankh 2: Heart of Osiris|2007|12440
88567|['Simulation']|Armored Fist 3|1999|32710
88568|['Simulation']|MiG-29 Fulcrum|1998|32740
88569|['Strategy']|BC Kings|2008|12460
88570|['Action']|Call of Juarez®: Bound in Blood|2009|21980
88571|['Adventure']|Nancy Drew®: Legend of the Crystal Skull|2007|31860
88572|['Adventure']|Nancy Drew®: The Creature of Kapu Cave|2006|31900
88573|['Adventure']|Nancy Drew®: The Phantom of Venice|2008|31920
88574|['Adventure']|Nancy Drew®: The White Wolf of Icicle Creek|2007|31930
88575|['Casual', 'Indie']|BRAINPIPE: A Plunge to Unhumanity|2008|35800
88576|['Simulation', 'Sports']|Hunting Unlimited 2010|2009|12690
88577|['Adventure']|Tales of Monkey Island Complete Pack|2009|31170
88578|['Action']|Street Fighter® IV|2009|21660
88579|['Action', 'Adventure', 'Racing', 'Simulation', 'Strategy']|Thrillville®: Off the Rails™|2007|6080
88580|['Adventure']|Indiana Jones® and the Fate of Atlantis™|1992|6010
88581|['Action']|Armed and Dangerous®|2003|6090
88582|['Action']|Star Wars: Battlefront 2 (Classic, 2005)|2005|6060
88583|['Adventure']|Indiana Jones® and the Last Crusade™|1989|32310
88584|['Action', 'Adventure']|LEGO® Indiana Jones™: The Original Adventures|2008|32330
88585|['Adventure']|The Secret of Monkey Island: Special Edition|2009|32360
88586|['Strategy']|Warfare|2008|35300
88587|['Action', 'Racing']|Clutch|2009|35310
88588|['Adventure']|Nancy Drew®: Ransom of the Seven Ships|2009|31980
88589|['Adventure']|Nancy Drew®: Ransom of the Seven Ships Demo|2009|31990
88590|['Sports']|3D Ultra™ Minigolf Adventures|2006|10140
88591|['Adventure']|King's Quest™ Collection|2006|10100
88592|['Action']|TimeShift™|2007|10130
88593|['Adventure']|Space Quest™ Collection|2006|10110
88594|['Action']|Killing Floor Outbreak Character Pack|2009|1256
88595|['Action', 'Casual']|Aces of the Galaxy™|2008|10120
88596|['Simulation', 'Strategy']|Tropico Reloaded|2009|33520
88597|['Casual']|Mystery P.I. - Lost in Los Angeles|2009|3610
88598|['Action']|Bionic Commando: Rearmed|2008|21680
88599|['Action', 'Adventure']|Bionic Commando|2009|21670
88600|['Action']|Watchmen: The End is Nigh Part 2|2009|21030
88601|['Action', 'Indie']|Foreign Legion: Buckets of Blood|2009|36000
88602|['Adventure', 'RPG']|STAR WARS™ - Knights of the Old Republic™|2003|32370
88603|['Indie', 'Casual']|Osmos|2009|29180
88604|['RPG']|Fallout 2: A Post Nuclear Role Playing Game|1998|38410
88605|['Strategy']|Fallout Tactics: Brotherhood of Steel|2001|38420
88606|['Action']|Kingpin — Life of Crime|1999|38430
88608|['Action', 'Adventure']|Mini Ninjas Demo|2009|35050
88609|['Adventure']|Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay|2009|31180
88610|['Casual']|Jewel Quest Pack|2009|37960
88611|['Casual']|Mahjong Quest Collection|2009|38000
88612|['Adventure', 'Indie']|Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack|2009|37400
88613|['Action']|Tom Clancy's Splinter Cell Chaos Theory®|2005|13570
88614|['Action', 'Racing']|Crash Time 2|2009|11390
88615|['Strategy']|XIII Century – Gold Edition|2009|34420
88616|['Simulation']|World of Zoo|2009|43100
88617|['Simulation']|18 Wheels of Steel: Extreme Trucker|2009|33730
88618|['Action', 'Adventure']|Mini Ninjas|2009|35000
88619|['Casual']|Freeze Tag Fun Pack #2|2009|39392
88620|['Casual']|Freeze Tag Fun Pack #1|1999|39391
88621|['Adventure', 'Casual', 'Indie']|Windosill|2009|37600
88622|['Simulation']|Train Simulator: Colton & Northern Route Add-On|2009|24029
88623|['Adventure', 'Casual']|Midnight Mysteries|2009|32140
88624|['Adventure']|Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan|2009|31190
88625|['Action']|Joint Operations: Combined Arms Gold|2009|32770
88626|['Simulation']|Train Simulator: US Loco & Asset Pack|2009|208306
88627|['Simulation']|DinerTown Tycoon|2009|37300
88628|['Simulation']|Train Simulator: European Loco & Asset Pack|2009|208300
88629|['RPG']|Risen|2009|40300
88630|['Casual']|Flora's Fruit Farm|2009|35070
88631|['Strategy']|Empire: Total War™ - The Warpath Campaign|2009|10606
88632|['Adventure', 'Indie']|Machinarium|2009|40700
88633|['Action']|Medal of Honor: Airborne|2007|24840
88634|['Racing']|Need for Speed: Shift|2009|24870
88635|['RPG']|Torchlight|2009|41500
88636|['Strategy']|Command & Conquer: Red Alert 3 - Uprising|2009|24800
88637|['Strategy']|The Stronghold Collection|2009|901735
88638|['Strategy']|East India Company: Privateer|2009|42800
88639|['Action']|Painkiller: Resurrection|2009|39560
88640|['RPG', 'Strategy']|SpellForce 2 - Anniversary Edition|2009|39550
88641|['Adventure']|Secret Files: Tunguska|2009|40330
88642|['Strategy']|Rush for Berlin Gold|2009|40320
88643|['Adventure']|Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood|2009|31200
88644|['Strategy']|Men of War: Red Tide|2009|3130
88645|['Action', 'Indie']|Hammerfight|2009|41100
88646|['Action', 'RPG']|SpellForce - Platinum Edition|2009|39540
88647|['Strategy']|Massive Assault: Phantom Renaissance|2005|34640
88648|['Strategy']|Massive Assault|2003|34630
88650|['Action', 'Indie']|Serious Sam HD: The First Encounter|2009|41000
88651|['Adventure']|Secret Files 2: Puritas Cordis|2009|40340
88652|['RPG']|Dragon Age: Origins|2009|17450
88653|['Action', 'RPG', 'Indie']|Aztaka|2009|37100
88654|['Indie', 'Casual']|Magnetis|2009|37500
88655|['Strategy']|For The Glory: A Europa Universalis Game|2009|42810
88656|['Action']|Call of Duty®: Modern Warfare® 2|2009|10180
88657|['Adventure']|LEGO® Star Wars™ - The Complete Saga|2009|32440
88658|['RPG']|Overlord™|2007|11450
88659|['RPG']|Overlord™: Raising Hell|2008|12710
88660|['Strategy']|Command & Conquer 3: Tiberium Wars|2007|24790
88661|['Indie', 'Casual']|Yumsters 2: Around the World|2008|29120
88662|['Strategy']|Command & Conquer 3: Kane's Wrath|2009|24810
88663|['Indie', 'Simulation', 'Strategy']|Gratuitous Space Battles|2009|41800
88664|['Simulation']|Wings of Prey|2009|45300
88665|['Action', 'Adventure', 'RPG']|The Bard's Tale|2005|41900
88666|['Action']|Defence Alliance 2|2009|35420
88667|['Action']|STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition|2009|32430
88669|['RPG']|Fallout 3: Game of the Year Edition|2009|22370
88670|['Strategy', 'Indie', 'Simulation']|Gratuitous Space Battles: The Tribe|2009|41802
88671|['Simulation']|Build-A-Lot|2007|38080
88672|['Simulation']|Build-A-Lot 2: Town of the Year|2008|38090
88673|['Simulation']|Build-A-Lot 3: Passport to Europe|2009|38100
88674|['Casual', 'Simulation']|Coconut Queen|2009|38070
88675|['Casual']|Roogoo|2009|38210
88676|['Action', 'Adventure']|Devil May Cry 4|2008|45700
88677|['Action', 'Indie', 'RPG']|Avencast: Rise of the Mage|2010|46410
88678|['Simulation']|Build-A-Lot 4: Power Source|2009|38110
88679|['Action', 'Free to Play', 'Indie']|Pirates, Vikings, and Knights II|2010|17570
88680|['Casual']|Farm Frenzy 2|2008|38130
88681|['Casual']|Farm Frenzy 3: American Pie|2010|38160
88682|['Casual']|Farm Frenzy 3|2009|38150
88683|['Casual']|Farm Frenzy|2007|38120
88684|['Casual']|Farm Frenzy: Pizza Party|2009|38140
88685|['Casual']|Cake Mania Main Street™|2010|36300
88686|['Strategy', 'Casual']|Westward® IV: All Aboard|2010|36310
88687|['Adventure', 'Casual']|Iron Roses|2010|36320
88688|['Strategy']|UFO: Extraterrestrials Gold|2010|37030
88689|['Adventure']|LEGO® Indiana Jones™ 2: The Adventure Continues|2010|32450
88690|['Sports']|Vancouver 2010™ - The Official Video Game of the Olympic Winter Games|2010|34180
88691|['Action', 'Indie', 'Racing']|Super Laser  Racer|2010|44100
88692|['Strategy']|Hearts of Iron III: Soviet Infantry Pack DLC|2010|25960
88693|['Action']|NecroVisioN: Lost Company|2010|46250
88694|['Casual']|Cradle of Persia|2007|38180
88695|['Action']|Aliens vs. Predator Swarm Map Pack|2010|10695
88696|['Action', 'Indie']|Serious Sam Classic: The First Encounter|2001|41050
88697|['Simulation']|Train Simulator: Fort Kent to Eagle Lake Route Add-On|2010|24055
88698|['Action', 'RPG']|Mount & Blade: Warband|2010|48700
88699|['Action']|Coniclysm|2010|39900
88700|['Action', 'Indie']|Plain Sight|2010|49900
88701|['Action']|Lead and Gold: Gangs of the Wild West|2010|42120
88702|['Action']|Grand Theft Auto: Episodes from Liberty City|2010|12220
88703|['Action', 'Adventure']|Dark Void™ Zero|2010|45730
88704|['Indie']|Fortix|2010|45400
88705|['Action', 'Casual', 'Indie']|Beat Hazard|2010|49600
88706|['Adventure']|Sam & Max: The Devil’s Playhouse|2010|901399
88707|['Simulation', 'Strategy']|M.U.D. TV|2010|43500
88708|['Simulation']|Wings of Luftwaffe Add-on|2010|45302
88709|['Adventure', 'Indie']|The Misadventures of P.B. Winterbottom|2010|40930
88710|['Action']|AquaNox 2: Revelation|2003|39640
88711|['Action']|AquaNox|2001|39630
88712|['Casual', 'Indie']|Fluttabyes|2010|23150
88713|['Casual']|Hidden Expedition: Titanic|2006|50940
88714|['Casual', 'Indie']|Hidden Expedition: Amazon|2008|50920
88715|['Strategy']|Napoleon: Total War™ - Coalition Battle Pack|2010|34178
88716|['Casual']|Fitness Dash™|2008|37340
88717|['Casual']|Gemini Lost™|2009|37390
88718|['Casual']|DinerTown Detective Agency™|2009|37310
88719|['Casual']|Mahjong Roadshow™|2007|37360
88720|['Casual']|Hotel Dash™ Suite Success™|2009|49000
88721|['Casual']|Nightshift Legacy: The Jaguar's Eye™|2010|37330
88722|['Casual']|The Nightshift Code™|2008|37320
88723|['Casual']|TriJinx: A Kristine Kross Mystery™|2007|37370
88724|['Casual']|Valerie Porter and the Scarlet Scandal™|2009|37380
88725|['Action', 'Adventure', 'Casual']|Biozone|2010|19080
88726|['Action', 'Indie']|Iron Grip: Warlord|2008|31700
88727|['Action', 'Adventure']|Rocket Knight|2010|19030
88728|['Indie']|Max and the Magic Marker|2010|50820
88729|['Action', 'Indie']|Flight of the Icarus|2010|49800
88730|['Casual']|Puzzler World|2010|33650
88731|['Action', 'Adventure']|Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition|2010|901478
88732|['Casual', 'Indie']|Ziro|2010|33660
88733|['Action']|Altered Beast™|2010|34281
88734|['Action']|Comix Zone™|2010|34272
88735|['Action', 'Adventure', 'Casual', 'RPG']|SEGA Mega Drive and Genesis Classics|2010|34270
88736|['Action']|Golden Axe™|2010|34276
88737|['Action']|Ecco the Dolphin™|2010|34274
88738|['Strategy']|Gain Ground™|2010|34275
88739|['Action']|Shinobi™ III: Return of the Ninja Master|2010|34277
88740|['Action']|Crack Down™|2010|34273
88741|['Action']|VectorMan™|2010|34280
88743|['Action']|Shadow Dancer™|2010|34282
88744|['Action']|Space Harrier™ II|2010|34279
88745|['Action', 'RPG']|Alpha Protocol™|2010|34010
88746|['Action']|Alien Breed: Impact|2010|22610
88747|['RPG']|Fallout 3 - Point Lookout|2010|22440
88748|['Strategy', 'Indie']|Defense Grid: Resurgence Map Pack 1|2010|18508
88749|['RPG']|Fallout 3 - Mothership Zeta|2010|22430
88750|['RPG']|Fallout 3 - Broken Steel|2010|22410
88751|['RPG']|Fallout 3 - The Pitt|2010|22420
88752|['Action']|Alien Swarm|2010|630
88753|['RPG']|Fallout 3 - Operation Anchorage|2010|22400
88754|['Simulation', 'Strategy']|SimCity™ 4 Deluxe Edition|2003|24780
88755|['Strategy', 'RPG']|Disciples III - Renaissance Steam Special Edition|2010|33670
88756|['Casual', 'Indie']|Tidalis|2010|40420
88757|['Action', 'Casual', 'Indie']|Razor2: Hidden Skies|2010|34920
88758|['Strategy']|The Settlers 7: Uncharted Land Map Pack|2010|48136
88759|['RPG']|Dimensity|2008|46720
88760|['Action']|Kane & Lynch 2: Dog Days|2010|28000
88761|['Simulation', 'Strategy']|The Guild II Renaissance|2010|39680
88762|['Strategy']|Hearts of Iron III DLC: German II Spritepack|2010|25962
88763|['Simulation']|Trainz Simulator DLC: Blue Comet|2010|24634
88764|['Strategy']|Fantasy Wars|2010|63900
88765|['Action']|Mafia II|2011|50130
